username,rating,time,votes,comment
雨过天晴,5,2019-05-27 20:27:28,152,今天这集的巨人把我震撼地鸡皮疙瘩掉一地，尽管早就看过了漫画，一往无前，愚蠢却又觉得为活着的人类付出有价值的新人兵团，答应团长杀了兽巨人愤怒值爆棚的兵长，从小梦想看到大海的爱尔敏为了打倒超大型巨人，情愿牺牲自己被烤成了木炭，就像他说的并没有输，因为我没有逃，啊啊啊怎么会有这么棒的神作！好想打100颗星
保持愤怒,5,2019-04-29 18:47:11,150,一击男出来挨打！！巨人绝对年度霸权预定！这样精彩的漫画再加上这么良心的动画组真是给全世界的福利了！虽说现在只看了一集但是全程热血沸腾，无论是kaji熟悉的嘶吼，阿尔敏灵活的小脑袋瓜还是兵长冷静利落的动作，当然还有调查兵团全员越来越熟练的战斗，都太他妈燃了！！！这样为了一部动漫热血沸腾的自己真是久违了呢。
月龄十四,5,2024-01-30 18:53:49,36,世界是残酷的。海的对面不是自由，是敌人。这一部分简直是史诗级的伟大，结束了闭塞的愚昧，又开启了无边无际的荒谬。每个人都应该有自己为之奋斗的目标，埃尔文团长是地下室中藏着的世界真相，阿卢敏是去墙外看海，艾伦是对巨人的仇恨，米卡莎是艾伦，但更多的人是相信自己是特殊的，结果却发现自己不过是世界的炮灰，然而即使是炮灰，也和某个人有着深厚的联系。
Doublebitch,5,2019-05-24 12:54:46,114,人类总有一天会死，那么人生就是毫无意义的吗？降生在这世上就是毫无意义的吗？死去的同伴也是毫无意义的吗？不，不对，为那些士兵赋予生存意义的是我们，那些勇敢的死者，那些可怜的死者，能够悼念他们的是身为生者的我们。我们将会在这死去，将意义托付给下一个生存者，这正是唯一能够对抗这残酷世界的方法。士兵们愤怒吧！士兵们高呼吧！士兵们战斗吧！
过河卒子,5,2020-04-20 23:28:50,65,"艾伦父亲留下的手记被打开那一瞬，我将永志难忘。此前五十余话力造的价值被全部粉碎——远非世界观的改变这么简单，而是情节行进、人物发展的内驱力和全心塑造出的意义由亲己之手一气推倒，在心头激起滔天巨浪，甚至让人难于呼吸。
之前看完EVA旧剧场版第二部，我说：“动画分有了此前由伟大文学享有的光荣”。而《进击的巨人》，则是享有了毫不输于任何一种艺术形式的，独属于动画的光荣。"
以有涯寻无涯,5,2019-05-20 18:52:57,63,和权游不同，一如既往的五星！
十八爷,5,2022-01-21 13:38:50,34,把“真相”看作唯一的希望，为了这个希望付出了无数人的绝望，最后找到的也不过是潘多拉的盒子。
nowhere,5,2019-06-10 12:38:44,82,"终于等来了地下室的真相。永远忘不了看漫画时候世界观从「地下室」那一章陡然扩大的震撼感。
真相过于沉重，想想之后的境况，难免想感叹要是你们不死死追寻多好，永远活在明确的奋斗中多好，但是人类追寻自由的心永远无法被禁锢。
丢掉自由就是自由的方法。"
譬如朝露,5,2019-06-10 18:10:07,81,"不用播完，看了目前这几集怎么也得满分了。
用个比喻的话，《进击的巨人》就像是别人家的孩子，科科优秀，无疑已经是这个时代日本动漫的最好作品。《攻壳机动队》《回忆三部曲》这种打小爱思考的哲学少年不会再出现在这个时代，《星际牛仔》《混沌武士》这种潇洒写意的天才型选手也不会再出现在这个时代，《一拳超人》这种体育特长生总是不稳定，第二季就像身体条件还在但上了高中就抽烟喝酒不训练的劣迹运动员，掩盖不了全优生的光辉。"
rmqlife,5,2021-01-31 12:06:09,53,之前朋友说进巨是哲学漫，我没懂。后几集抖了包袱，把前面三季的明喻暗喻看明白了，才明白此言非虚。楚门的世界里，你选择无知的快乐；还是自由的痛苦？
嘿嘿嘿,5,2019-06-09 12:12:16,129,一向自命清高的豆瓣评分居然高达9.8分！这真不是B站评分么？【滑稽】
q,5,2019-07-08 22:51:37,88,确实是巨人系列的巅峰之作。
思路乐,5,2019-07-16 21:17:01,42,【A+】谏山创在原作所编写的震撼剧情，动画组在视听上超凡的表现，还有声优们超水准的翻译，让第三季part2成为了足以留名日本动画史的作品。前半段玛利亚之墙夺回战应该算是动画史上最惨烈的战役之一了吧，谏山创发起狠来真是毫不手软，而动画组的氛围营造与声优演出也让第十八集完全超越了漫画原作的表现力。后期真相的揭露也真是足够震撼，一切的起因，竟然只是一次自由的追寻。海的那边没有自由，有的，只是立场不同的敌人。
苏案,5,2023-01-22 14:00:26,27,继女体巨人后又一个令我屏息的情节段落。玛丽亚之墙夺还之战太好看了，太精彩了。而且参与这场战争的每个人，无论是所谓的正反派，是主角还是背景板，都有他存在的意义。几次攻防转换，背水一战，牺牲与成全，遗憾与解脱。牺牲者的意义由后来者所书写。若为自由故，“每次想到大海，我的内心就充满勇气”。大海是给勇敢者的奖赏。但大海还是有边际的，海的那边，究竟是不是你渴望的远方。故事整个世界观的架构也在最后揭晓，一点都没有让我失望，你几乎可以从这个架构中解读出你想要解读的关于现实世界的任何隐喻。一切故事都是人与人的故事。
一心而用,5,2019-07-01 18:09:32,68,玛利亚之墙夺还战篇是全作目前的高峰，除了点题的那一话做的不够理想外，wit社做到了对原作120%的还原，对其自然如何赞美都不为过。对原作的评价很多时候不是“真是精彩！”而是“居然还能这么精彩？”。引用句话来说就是：巨人从第一季时就是神作了，之后只是在不断刷新“神作”的上限而已。因为之后的剧情无论是紧张程度、争议程度还是残酷程度与之前相比都是有过之而无不及，作为迄今为止剧本完成度最高的青年漫（可能没有之一），如何成功收尾也令人无比担忧。希望wit社能把最终季平稳地做下去，然后等着被载入史册。
Sola,5,2019-04-29 03:02:34,43,不负众望
vyan,5,2019-05-29 10:41:28,57,我们时代的EVA。
无属格从句,5,2019-07-09 00:42:48,31,墙内的青年以为靠一套启蒙叙事（自由）和大和民族梦（“看海”）就能过上自给自足的、井然有序的中世纪田园牧歌生活——这难道不已经有着内在的锚裂吗？走出墙外了。在海的另一边等待着他们的是一个现代工业文明，是你死我活的霍布斯时刻。人与人之间的战争，而非人对巨人的英雄式抵抗。我们将呼唤不死的弥赛亚。13年的誓期，无人得救。
第三螺旋,5,2019-07-03 09:02:02,32,跨过墙，也跨不过立场。全剧都是各种悲剧，主角以为的正义战争，真相是朋友相残、亲人相残、同胞相食
Huanghehaohl,5,2019-05-26 21:06:43,88,"还有不给5星的人？？？
巨人的世界是残酷的，他残酷的地方在于把大多数龙套都塑造得有血有肉，会害怕，会兴奋，会为了理想即使恐惧到呕吐也会向野兽巨人发动自杀式冲锋。他们就像一个个生活中能见到的最真实的人，然后一个个惨死在你面前。
但是如果没有兵长，他们的死有什么意义？
他们是值得尊敬的战士，但确实，如果没有兵长，他们的死亡没有意义。"
轩辕十四,5,2019-05-06 19:27:51,50,不谢 www.yxdm.tv
momo,5,2019-05-21 01:18:09,57,吹爆玛利亚夺还！辣鸡猴子还我团长啊！
marumaru,5,2019-07-22 19:44:25,40,"论干脆利落地杀死笔下角色的，我只服西马丁东山哥……
各种隐喻剧情也太高能了吧！主角在残酷的世界里一层层的自我怀疑自我剖析，在向死的无意义中探寻生的意义。
引以为豪的民族神话实则暧昧不清；
自以为是被神选中的幸存者，却被称为恶魔；
以为杀戮巨人是为了保护，其实杀死的是天各一方的同族；
以为死亡永远不会降临只是酒桌上的谈资与日后勋章上的装饰，却是转瞬即至；
以为坚定的信仰，脆弱的不堪一击；
被称为“父亲”之人，却一次次把孩子作为复仇的工具。
散落的遗民或是狂热皈依，或是执着复国，所背负的祖先罪恶
热血、激情、冲动、大义名分，一切仿佛都是无意义的，只等待后人如何去记忆去传承。
这一季看完，真是发自内心地深深爱上了兵长～"
小药水,5,2019-07-14 18:25:10,34,讲了6年的故事，这一季的战斗真的太牛逼了....荡气回肠，同样身处高墙之中的我们，又可以为了真相和自由，奋战到何种程度。
塔塔君Minkun,5,2019-07-12 17:33:48,16,不得不被折服。第三季P2前半部是对前面的定调作最后一次高潮，之后便钻入被嵌套的最小化之中，对回忆与当下交互剪辑的城郭里有地下室，地下室中藏有来自另一个世界的记忆——照片，照片将两个不同时间的空间、世界联结。躁动与寂静、最大与最小的恢宏、奇异的切换，亦让这一篇章成为整个作品最令人动容之一章。
momo,5,2019-12-09 13:06:50,78,"太，牛，逼，了。真的过于牛逼了，五星根本不够。每一次联系到八百年前的伏笔都让我下巴都惊掉了，光是这就甩了99%的作品一大截了。真相再一次褪去外衣，接近更核心的部分，整个世界越是明朗就越是残酷。从「勇者」到「白夜」太牛逼了，真的是史诗级文戏。前两季时我曾经觉得团长像美队，到这一季才发现完全不是一个层次的人物，团长前期神性越突出，暴露出人性的本心时就越是令人震撼，完全超脱了漫画人物，完全就是一个活生生的人坐在那里。看海是多么美好的向往，但赎罪性质的探究真相，该是多么的深刻，以至于占据了从骨到心的整场人生。所以对你充满指望期待的人永远希望你再负一次责任。只有爱你的人才会希望拿走你肩上的负重，让你安眠。"
汪汪雪冰,5,2022-09-14 02:06:28,20,想给阿尔敏点播一首《想去海边》
-0brian0-,5,2019-06-03 13:45:35,114,万万没想到最感动的居然不是“勇士”，而是“白夜”
葡萄藤下,5,2019-06-17 14:40:09,63,有朝一日马丁亲自撰写出“人类与异鬼的决战”，水准也未必能超出其上。
Alain,5,2021-03-27 18:29:56,9,感觉收尾在看海就完美了！
怀谨握瑜,5,2023-11-09 18:32:06,17,"终于来到地下室 世界观展开后，主角们设定都更像反派了"
Vendetta Child,5,2019-07-13 19:51:21,42,热血少年的开篇终成饱含政治寓意的神作。力量亦原罪，乐园亦牢笼，同胞亦天敌，自由亦战争。怀璧其罪的艾尔迪亚人离开乐园又终将去向何处。
Fchwpo,5,2021-02-05 00:58:31,34,那次冲锋是动漫史上最惨烈的牺牲
零叁,5,2019-06-17 21:42:35,63,真牛逼啊，我见证了一部神作的诞生，它完全有资格在世界影史上占有一席之地，并与那些能让我们如数家珍的伟大作品平起平坐。
毛秃秃和胖咕咕,5,2021-04-10 19:59:41,18,艾伦指着大海，海的对面是什么？可惜的是，作者谏山创于那之后突然猝死，只留下了一个这样令人震撼的开放性结局，埃尔文团长的献出心脏，兵长砍猴和自由之翼已经成为我心中动漫史上最闪耀的高光。而对于以后有人冒用谏山创之名狗尾续貂的内容，我们应该予以坚决的无视，就当它不存在。
Rembrandt,5,2020-03-19 00:41:19,33,本季值得被载入动画史册。
Mrbikong,5,2022-09-20 01:02:17,36,光临 白夜 地下室 太牛了 海的对面是敌人，他是被送到乐园的我们的同胞…感觉死于梦想门前最后一步的团长何尝不是最幸福的人，他近乎是耀武扬威般地炫耀了李伟留给他的最后一份温柔的私心，不会陷入这破烂不堪的真相里无法释怀……听到李伟那句放弃你的梦想去死吧，团长脸上露出的是从未有过的 终于被人理解后的无限温柔与释怀，和李伟确认故人已去后露出的从未有过的脆弱与痛苦相得益彰，妙啊！还真是 早点死就不怕作者乱写发疯了🙏死了的都是白月光，永远年轻永远智慧，永远温柔永远塔塔开……
Feem,5,2019-04-29 19:21:00,69,"我要将我的一千二百献给你，我的巨人

为那些士兵赋予生存意义的是我们
那些勇敢的死者
那些可怜的死者
能够悼念他们的
是身为生者的我们
我们将会在这里死去，将意义托付给下一个生存者，这正是唯一一个能够对抗这残酷世界的办法。
士兵们愤怒吧！士兵们高呼吧！
士兵们战斗吧！

我们站在巨人的肩膀上
终究也会成为下一代的巨人
我们害怕死亡
可是死亡终会一往无前的到来。

海报：
巨人很高大，但是拥有着需要守护的东西的那一群人，他们更高大。

艾连父：我根本什么都不懂，要是早知道这是自由的代价，我绝不会拿这些去换取。

如果我们把海那一边的敌人全部杀掉，我们就自由了么？"
沙沙,5,2019-05-22 13:45:23,113,真想把埃尔文团长空降维斯特洛大陆，这才是行军打仗的统帅啊，那边的剧集送人头的打仗都是什么瞎几把搞
刘小婷,5,2023-03-04 00:44:39,14,"兵长斩杀兽之巨人的那一段简直炸裂！
兵长呐喊：喂，你要去哪里？我向他发誓要杀了你的，发誓了的！！
团长为了人类被扼杀的梦想。
阿尔敏不忘初心的梦想。
啊，这段文戏太细腻了！作者封神！"
FF,5,2019-05-27 17:29:22,47,兵长砍猴简直燃炸了
昭水莲佐伊,5,2019-06-24 20:51:01,100,枭说出那句照顾好三笠阿尔敏的时候，似乎一切都串起来了
Eco,5,2019-06-09 18:12:45,24,封神
Thè,5,2021-02-25 03:43:19,11,哀れすぎる物語。团长这个英雄真的是令人肃然起敬，但我的泪点全部都在莱纳转交尤弥尔的信件上。都是多好多单纯的人啊，谁知道终于知晓了真相看到了海，对面却没有所谓的自由。战争之下谁人不是棋子不是枷锁，旁观如我都厌倦了鲜血，更何况局中的每个人呢。（动画的节奏张力真的太强了，除了牛逼说不出话来
今夜眼皮跳了👿,5,2019-06-04 15:21:35,107,权力的游戏你听好了，巨人就是历史最佳剧集，比最佳动画还吊，巨人就是当今第一剧！
[己注销],4,2019-07-03 23:06:39,61,（８／１０）这一季的主角是团长和爸爸，下一季前半段主角应该就是莱纳了。
Misrandir,2,2019-05-13 16:45:45,37,觉得好啰嗦
透明人,3,2019-05-13 21:51:07,89,第三集有点啰嗦了，总是在关键时刻搞不清楚状况，对方都狠成什么样了，都什么节骨眼了，还废话那么多，聊什么呀，有什么可聊的，有地下室呢，聊毛线，上去把铠甲巨人里的人拉出来一脚躲稀碎不就完事了。磨磨唧唧等人家嚎叫
幼银,未评分,2019-05-19 10:36:07,15,看不下去
西米和米西,5,2019-06-04 18:14:46,77,"这一季目前有三集进入了IMBD电视剧单集历史总榜前十，面对权游和毒师也丝毫不落下风。
尤其17和18集之后，虽然碍于各种原因大家嘴上都不明说，但其实心里都明白，进击其实已经是日本百年动画史上最优秀的TV番剧了。如果进击第四季告吹，下一部如此震撼世界的动漫番剧，也许又要等一个百年。
引用一句IMBD上第17集的热评——Haters come and rate 1/10 but we all know that this episode was the best of all time in anime history. I am so proud of this anime."
Mr. Infamous,5,2020-02-19 23:56:06,15,终归还是一场权力的游戏。当同一段历史有了不同阵营的书写，好坏善恶也就有了不同的参照，于是当“好人”与“好人”兵戎相见，那种悲剧感是漫山遍野千秋百代都铺不下的。他们一生都在憧憬看到大海，但那片海，却写不下一个和平与自由，有时候，绝望哪怕平淡了，那杀伤力也绝不比前几集的背水一战弱。喜爱的角色死了好多，幸好仍有几个残留，而很惊喜的，是坐实了一条同性支线。短短十集出了几个神集，太牛。
龙猫dududoudou,5,2019-04-30 17:13:49,36,心脏给你，兵长给我！
赫菲斯托斯,5,2022-05-12 20:49:18,20,我只能说在这一部我真正看到了一个夸张到“变态”的巨型世界观，我不知道它在反映什么，是自由，是政治，是反抗，是人类命运。我非常喜欢弗洛克在最后讲出的那段最黑暗但却最真实最现实的话，那才是一个正常人会表达的诉求和担心，我为自己没法理解全部世界观而道歉，在最后大海时刻，最美好的东西却承载着最痛苦的意义。
没有猪猪怪了,5,2019-04-29 17:34:51,24,四月真好
赖美云的嘟嘟车,1,2019-06-12 23:38:37,10,优柔寡断的巨人，我人类就算死完了又怎么样，再犹豫一集
咚咚tomato,5,2019-07-17 00:04:01,25,"9.5 绝对的神作，如果说一开始的墙与巨人的设定和绝境中人类的生存最令人震撼的话，世界观完全展开的巨人已经在神作的水准上无可阻挡了。团长带领调查兵团的慷慨赴死，对抗兽之巨人的绝境反击，阿鲁敏对抗超大型巨人的向死而生的计策。以及那个所有人都痛心不已的抉择，《白夜》的名字太精准了，那一集的所有人如身在白天却如坠入漆黑永夜，但却不得不继续在夜中前行。付出如此沉重代价，最终到达那片海可完成了儿时的梦想？海的另一边真的是自由的路吗？
士兵们愤怒吧！士兵们高呼吧！士兵们战斗吧！我们的牺牲哪怕换来了后来者生存的延续和追求自由的极其微小的可能性，这就是我们存在的意义。"
呃呃哈哈呵,5,2019-06-08 09:13:02,53,我看完最新三集后认为，真的没有任何理由认为动画的艺术性比不上电影了。
小巨鹿,5,2021-03-24 12:50:41,26,呐呐呐 我以为我心够硬了 承受能力这么多年了 面不改色没问题。结果就是钻到被窝里 躺在儿子旁边 拿着手机 偷偷哭的稀里哗啦 无法控制自己 。谏山创 这辈子就这一部作品 也够本了。S3E16/17/18  全世界的创作者都该学着点 如何杀角色 如何立人物 如何在这么短的时间内让你心脏撕裂（简直是兵团誓言 观众也献出了自己的心脏❤）  可以说对自由 对生命 对团体 对国家 对战争  我觉得都是到尽头的讨论了 极致的讨论了
17950,5,2019-08-17 00:36:02,20,本季度全球最佳tv series，作画崩溃那是啥？这么好的编剧你还要抱怨啥，难道要去HBO找编剧吗
渡边,5,2019-06-25 14:47:31,24,封神的一part，没什么可说的，为调查兵团献出心脏！
WilliamOsborne,5,2019-05-04 15:17:55,29,"精彩程度不弱于权力的游戏！(现在再看吊打GOTs8)
超脱了动漫范畴的影视作品。
话说第三季第二部分这个词条都能出来，20年，见证动画漫画同步完结。"
Mr.Or,5,2019-08-05 09:06:46,16,“如果计划顺利的话，我应该没办法去外面的世界看海了。但是不知道为什么，只要一想到外面的世界，我就会充满勇气呢。”
