username,rating,time,votes,comment
泽斯特,5,2025-11-18 14:02:17,1,大半夜看得手发抖…可能短时间内都不想再看一遍了。
Relax_Mar,5,2025-11-18 01:50:20,0,"这一季算是文戏的巅峰，个人认为。墙内的雷伊斯家族和希斯特利亚作为始祖巨人之力的继承者，一代代传承，最后在艾伦和大家的努力下成功被艾伦夺取，也同样改变了制度，拥护了总统，团结了人民和商会。
而这一季也稍微揭露了艾伦父亲的一些行为，埋下了伏笔。作为支线，展示了兵长的阿克曼家族和他的那个唯一亲人的故事……"
秉烛夜中归,5,2025-11-18 00:54:21,0,看的时候根本停不下来
反季节西瓜,5,2025-11-18 00:36:07,0,艾尔文终于是献出自己的心脏了，也终于可以休息了。
lullprint69,5,2025-11-17 20:16:46,0,很厉害馁~~幻觉崩溃后的失控和重建can u handle this~~
安武,4,2025-11-17 18:27:13,0,人物们刻画的确实不错，8.4
就爱搞钱,5,2025-11-17 13:13:34,1,wit你是真的会画啊qwq第四季的立体机动装置场面简直是索然无味...1/2集封神！希斯特利亚反抗的一话哭死我了...“我就是最糟糕，最差劲的超级坏孩子！”希斯特利亚啊，为自己而活啊！😭😭😭
🐟,3,2025-11-17 13:00:30,0,感觉画质画风有明显的好转，剧情中规中矩
procaffenating,5,2025-11-16 16:46:39,1,惊呆了，竟然还有一个世界
染污,4,2025-11-16 13:25:36,0,"剧情不出意外，天灾的背后果然是人祸。
好不容易推翻了一个懦弱又迷信的gov，不走上彻底的民主体制，竟然推举另外一个傀儡，还要为她强行造神，太荒唐了。甚至这个新推举的女王大人自己都想要自由和属于自己的人生。想到是小日本想出来的剧情也不奇怪了。
往后更离谱。还想着征服大陆？血统正宗在岛国？“海的那边是敌人”？人的种族哪有三六九等啊？谁在压迫你？不是你自作多情天天用受害者视角看问题？你为什么只敢煽动对对岸的情绪，却不敢讨论大洋那边对你们做过的事？《巨人》很优秀但我无法在大义上宽容。中国人应当看看这部作品，他把“人”的意义讲得非常生动，但同时他也让人警醒这个民族的狼子野心。日本文艺界的主流或许从未深刻地为他们的政治反省。
P.S. 药剂那集往后很神 高市早苗是真的有点像车力巨人 这个人也够离谱的"
别梦寒,5,2025-11-16 12:29:50,0,"三笠：“等你成为女王后，可以揍那个小矮子一顿”
希斯托莉雅：“啊…”"
罪与罚烟与酒,4,2025-11-16 11:18:53,0,这一季更多在刻画人类之间的内斗，大场面少了不少，但是人类之间的勾心斗角尔虞我诈也刻画得很不错，结尾也终于到了要夺回玛利亚之墙的时候，期待第二部分的战斗
冰淇淋干杯,5,2025-11-16 01:07:48,1,王政篇 群像满分 剧情满分 这个世界的真实面貌逐渐开始浮现 最后几集也补充交代了一些之前的故事 接下来的作战计划就是玛利亚之墙夺回战了 （话说大半夜的我就最后一集ed没跳 吓死我了，这个现在看起来意义不明的彩蛋）
蓝眼墨0o0,4,2025-11-15 21:19:58,0,有点拖沓
梦莲湖,3,2025-11-15 20:56:41,0,主角三人的刻画相较于其他配角可以说是非常扁平和流于口号形式了，看完真的很想说贝尔托特死的好惨
专杀玉玉症,5,2025-11-15 19:14:27,0,再看一遍，实在太精彩了
陈同学,3,2025-11-15 12:38:22,0,夺回圣玛利亚之墙
momo,5,2025-11-15 11:16:08,1,在第三季结束挺好的
momo,5,2025-11-14 23:04:40,1,至此为止还是很精彩的 利威尔兵长帅得一骑绝尘…
猪杂面,5,2025-11-14 22:37:08,1,神作，故事性深度拉满，至今没看过比这更好的
UnderOceanBlvd,5,2025-11-14 19:32:29,0,我以为在看1984
嘿哟嘿哟拔萝卜,5,2025-11-14 17:28:30,1,地下室到底有什么秘密，急死我了。
睡眠剥夺斑马鱼,4,2025-11-14 04:38:18,0,看完感觉自己是全世界最懵逼的人。看了两季了一直在夺回艾伦嗯对
Paradise,4,2025-11-13 20:56:41,0,幽默政变扣一分
豆瓣酱,5,2025-11-12 22:27:11,0,若是隐喻的话，似乎有点细思极恐了。
法利斯安漫游,5,2025-11-12 21:39:05,0,这季从巨人彻底转移到人，从精彩的格斗戏掉头惊悚政治，隐晦不明语焉不详躲掉了一些东西，期待大战
Moi,5,2025-11-12 20:50:08,0,艾尔文团长😭
发誓不做咸鱼,5,2025-11-12 19:39:20,0,"现在听兵长的配音居然有点听烦了…不管说什么台词都是一个音调（（小时候那么喜欢神谷来着
个人觉得第三季part1部分剧情有点莫名其妙 人类内斗的剧情有意义但是写的很无聊 希斯特里亚的人设也莫名其妙"
少林功夫好耶,5,2025-11-12 12:41:57,0,最后一集太燃了！塔塔开！！！！
白日梦领袖,5,2025-11-12 00:45:00,0,这一季更是没有一帧是废话的  从杀戮揭开为人类之间的战争。很伟大的作品！！
椒花颂声,5,2025-11-11 21:40:50,0,人类的赞歌是勇气的赞歌，没有比阿尔敏更勇敢的人了😭
豆友203739178,5,2025-11-11 21:00:36,0,最喜欢团长的任性去踏马的集体绑架
雨人,5,2025-11-11 17:02:13,0,原来真相如此残酷
Michael-HXY,5,2025-11-11 11:11:13,0,视频
工藤新七,5,2025-11-11 11:03:43,0,海的那边是什么？
拾露,4,2025-11-11 00:15:33,0,越来越玄幻了
知舟不叙,4,2025-11-10 22:15:03,0,夺回玛丽亚墙太牛了，最后的的伏笔收回也挺震惊的！
Joan,5,2025-11-10 20:24:44,0,剧情不托泥带水，就是男主每次进攻前都要磨磨唧唧，在那里做思想斗争半天，看的我老火～主要战斗力也一般～
月落乌啼,5,2025-11-10 19:01:45,0,海的那边是敌人
坟场标本,5,2025-11-10 18:43:48,0,神作不必多说
。。。。。。,5,2025-11-10 14:34:24,1,绝对神作！10星
qian_qian_ko,4,2025-11-10 11:40:20,0,基本上把墙内国度的隐秘都揭开，剩下的就看墙外了
抬头见月光,5,2025-11-10 11:04:54,0,神番。剧中探讨了很多问题，关于自由、希望，梦想，看完后心情很复杂。在困境中支持主角团前进的希望，是墙外的大海。曾经以为到达大海就可以获得自由，但触碰到世界真相的那一刻，却发现海的那边是什么。是自由吗？不，海的那边是敌人。番剧内核是存在主义与反战主义，体现出作者对战争与和平的思考。究竟什么能带来永久的和平，力量？技术？还是友善？都没有用，战争永不停歇。所以艾伦结尾灵魂发问：如果把海那边的敌人都杀光，我们是不是就真的自由了呢...也许直到世界上只剩一个人的时候，才能得到永远的和平。百姓与战士本身都是善意的个体，却在舆论洪流中受到国家意志与体制教化的裹挟，毅然走上战场，被迫背负血腥与仇恨，但归根到底都是残酷战争的牺牲品。
